segment_id,points,mean_PRICE_ln,id,mean_chislennost_naseleniya_092025,mean_srednmes_zarplata,mean_temp_prirosta_percent,mean_house_point_count,mean_area_km2,mean_density_hp_per_km2
RKZ75-S1436,367,18.199195041840255,KZ75,265156.2222222222,449734.55555555556,1.9988888944519894,99477.0,1326.1170511370503,75.01374023862044
RKZ55-S951,367,16.25177340829411,KZ55,57466.46153846155,322668.30769230763,-1.743076894145746,15354.0,326237.7798687255,0.04706383180445344
RKZ79-S996,366,17.325779405275256,KZ79,256825.8,312770.3999999999,2.0420000791549677,15196.0,2131.4607012414285,7.129383146097593
RKZ75-S1455,366,18.01290023003355,KZ75,265156.2222222222,449734.55555555556,1.9988888944519894,99477.0,1326.1170511370506,75.01374023862044
RKZ71-S322,365,17.63602105562719,KZ71,320298.0,506373.6666666667,4.891999927163125,83901.0,1819.4872380352292,46.11244214639304
RKZ71-S469,365,17.303882211740152,KZ71,320298.0,506373.6666666667,4.891999927163125,83901.0,1819.4872380352292,46.11244214639304
RKZ27-S1054,365,16.627874904662512,KZ27,53521.07692307692,312077.61538461543,-1.0692307765667253,13123.0,371015.69418884546,0.03537047139930539
RKZ27-S1022,364,16.835370482155557,KZ27,53521.07692307692,312077.6153846155,-1.0692307765667253,13123.0,371015.6941888455,0.03537047139930538
RKZ75-S129,363,17.19372802891658,KZ75,265156.2222222222,449734.5555555556,1.9988888944519896,99477.0,1326.1170511370503,75.01374023862044
RKZ71-S431,363,16.89366813811563,KZ71,320298.0,506373.6666666667,4.891999927163125,83901.0,1819.4872380352294,46.11244214639305
RKZ27-S1038,363,16.6509293735802,KZ27,53521.076923076915,312077.61538461543,-1.0692307765667255,13123.0,371015.6941888456,0.03537047139930539
RKZ55-S909,363,16.10969022658484,KZ55,57466.46153846155,322668.3076923077,-1.743076894145746,15354.0,326237.7798687255,0.04706383180445345
RKZ79-S1004,363,16.99953438524317,KZ79,256825.8,312770.3999999999,2.0420000791549677,15196.0,2131.4607012414285,7.129383146097594
